,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
25100,9903,54.8673,38.1299,7,18,202320012233313231,0.0185119650505814,0.0349211849881519
25101,9903,54.8674,38.1333,8,23,202320012233313330,0.0,0.1334141932583427
25102,9904,54.887,38.0638,0,156,202320012230012121,0.1527588758605073,0.0112668404338574
25103,9904,54.8848,38.0647,1,387,202320012230012130,0.2340790091063796,0.0
25104,9904,54.8738,38.136,2,450,202320012233320310,0.494137228308445,0.9033328374716229
25105,9904,54.8822,38.0808,3,22,202320012230133022,0.011424409579323,0.0007696636117273
25106,9904,54.8971,38.0796,4,19,202320012230200331,0.0028922851386966,0.0
25107,9904,54.8862,38.066,5,16,202320012230012213,0.00404546420126,0.0
25108,9906,54.8935,38.0678,0,520,202320012230312300,0.9085102103913958,0.9837371838081383
25116,9911,54.8779,38.144,0,329,202320012233322333,1.0,1.0
25121,9914,54.9206,38.0591,0,565,202320012230330122,0.4299521179639252,0.9557497139630604
25122,9914,54.8909,38.0809,1,550,202320012230200023,0.5373330250020404,0.0
25123,9914,54.847,38.0892,2,17,202320012230103323,0.0162145985798623,0.0
25128,9918,54.8959,38.0792,0,826,202320012230200323,0.982863086535594,0.9656025752362049
25129,9919,54.8954,38.0788,0,476,202320012230200323,0.7171429272241163,0.9664834462482425
25130,9919,54.8879,38.0873,1,37,202320012230203300,0.0738306065883391,0.0335165537517576
25131,9919,54.8871,38.0917,2,78,202320012230123322,0.13410189114278,0.0
25132,9919,54.8869,38.0866,3,15,202320012230130100,0.0041305894184306,0.0
25137,9923,54.8968,38.0858,0,368,202320012230203102,1.0,1.0
25163,9941,54.895,38.0803,0,423,202320012230200313,0.8712580115313671,0.8296379621680826
25164,9941,54.9005,38.0727,1,169,202320012230313112,0.0981999543534465,0.1511204523252716
25165,9942,54.8916,38.0706,0,498,202320012230312130,0.9384292203069128,0.9999687935589906
25170,9948,54.8947,38.0802,0,510,202320012230200313,0.7987803176198052,0.9956392796519228
25171,9948,54.8968,38.0719,1,71,202320012230312002,0.0697340143459209,0.0
25172,9948,54.8952,38.0717,2,135,202320012230312020,0.0975978490422097,0.0
25173,9949,54.895,38.0796,0,340,202320012230200320,0.7780578262911249,0.4950085248985831
25174,9949,54.8894,38.0917,1,26,202320012230210012,0.0413476190019837,0.0291963078370274
25175,9949,54.8975,38.065,2,106,202320012230321011,0.1476755440980574,0.4355576459521429
25177,9952,54.8881,38.0613,0,313,202320012230322112,0.7307817644480903,0.956518522433018
25178,9952,54.8932,38.0793,1,69,202320012230200321,0.2147689092155386,0.0
